Datetime (PST),temperature,netRadiation,battery,flux
2020-11-17 13:35:00-08:00,25.23,8.731,13.7,
2020-11-17 13:40:00-08:00,24.35,153.674,13.7,
2020-11-17 13:45:00-08:00,24.14,153.674,13.7,
2020-11-17 13:50:00-08:00,23.88,155.421,13.8,
2020-11-17 13:55:00-08:00,23.62,110.017,13.7,
2020-11-17 14:00:00-08:00,23.21,103.032,13.7,-17.0
2020-11-17 14:05:00-08:00,24.57,223.526,14.6,
2020-11-17 14:10:00-08:00,24.3,141.45,14.1,
2020-11-17 14:15:00-08:00,23.77,92.554,13.8,
2020-11-17 14:20:00-08:00,23.74,113.509,14.0,
2020-11-17 14:25:00-08:00,24.09,80.33,13.8,
2020-11-17 14:30:00-08:00,22.12,57.628,13.7,-69.7
2020-11-17 14:35:00-08:00,23.16,55.882,13.8,
2020-11-17 14:40:00-08:00,23.3,52.389,13.7,
2020-11-17 14:45:00-08:00,23.32,101.285,14.6,
2020-11-17 14:50:00-08:00,23.97,110.017,14.6,
2020-11-17 14:55:00-08:00,23.72,71.598,14.6,
2020-11-17 15:00:00-08:00,23.98,96.046,14.5,-89.0
2020-11-17 15:05:00-08:00,23.16,34.926,13.8,
2020-11-17 15:10:00-08:00,23.48,45.404,14.4,
2020-11-17 15:15:00-08:00,22.84,34.926,13.9,
2020-11-17 15:20:00-08:00,22.88,33.18,14.1,
2020-11-17 15:25:00-08:00,22.47,19.209,13.7,
2020-11-17 15:30:00-08:00,23.18,15.717,13.6,-85.5
2020-11-17 15:35:00-08:00,22.01,19.209,13.8,
2020-11-17 15:40:00-08:00,22.54,8.731,13.6,
2020-11-17 15:45:00-08:00,22.96,8.731,13.5,
2020-11-17 15:50:00-08:00,22.48,0.0,13.4,
2020-11-17 15:55:00-08:00,21.44,0.0,13.4,
2020-11-17 16:00:00-08:00,21.41,-1.746,13.4,-80.7
2020-11-17 16:05:00-08:00,20.7,-12.224,13.3,
2020-11-17 16:10:00-08:00,21.91,-15.717,13.3,
2020-11-17 16:15:00-08:00,21.92,-17.463,13.2,
2020-11-17 16:20:00-08:00,21.55,-19.209,13.2,
2020-11-17 16:25:00-08:00,21.23,-22.702,13.2,
2020-11-17 16:30:00-08:00,21.26,-22.702,13.1,-7.8
2020-11-17 16:35:00-08:00,21.62,-24.448,13.1,
2020-11-17 16:40:00-08:00,22.17,-22.702,13.1,
2020-11-17 16:45:00-08:00,21.72,-20.956,13.0,
2020-11-17 16:50:00-08:00,21.61,-24.448,13.1,
2020-11-17 16:55:00-08:00,20.91,-24.448,13.1,
2020-11-17 17:00:00-08:00,21.22,-22.702,13.1,0.4
2020-11-17 17:05:00-08:00,20.39,-22.702,13.1,
2020-11-17 17:10:00-08:00,20.81,-29.687,13.1,
2020-11-17 17:15:00-08:00,19.48,-29.687,13.0,
2020-11-17 17:20:00-08:00,19.23,-31.433,13.0,
2020-11-17 17:25:00-08:00,17.62,-33.18,13.1,
2020-11-17 17:30:00-08:00,18.07,-36.672,13.0,0.0
2020-11-17 17:35:00-08:00,19.29,-38.419,13.0,
2020-11-17 17:40:00-08:00,19.22,-34.926,13.0,
2020-11-17 17:45:00-08:00,17.34,-36.672,13.0,
2020-11-17 17:50:00-08:00,14.15,-36.672,13.0,
2020-11-17 17:55:00-08:00,17.14,-34.926,13.1,
2020-11-17 18:00:00-08:00,17.13,-34.926,13.0,0.3
2020-11-17 18:05:00-08:00,17.09,-34.926,13.0,
2020-11-17 18:10:00-08:00,16.91,-34.926,13.1,
2020-11-17 18:15:00-08:00,16.48,-34.926,13.0,
2020-11-17 18:20:00-08:00,16.68,-31.433,13.0,
2020-11-17 18:25:00-08:00,16.82,-29.687,13.0,
2020-11-17 18:30:00-08:00,15.53,-31.433,13.0,3.9
2020-11-17 18:35:00-08:00,13.8,-33.18,13.0,
2020-11-17 18:40:00-08:00,13.73,-34.926,13.0,
2020-11-17 18:45:00-08:00,15.11,-38.419,13.0,
2020-11-17 18:50:00-08:00,13.13,-38.419,12.9,
2020-11-17 18:55:00-08:00,12.81,-34.926,13.0,
2020-11-17 19:00:00-08:00,13.01,-33.18,12.9,-2.4
2020-11-17 19:05:00-08:00,13.52,-33.18,12.9,
2020-11-17 19:10:00-08:00,15.34,-29.687,13.0,
2020-11-17 19:15:00-08:00,14.88,-29.687,12.9,
2020-11-17 19:20:00-08:00,15.45,-27.941,13.0,
2020-11-17 19:25:00-08:00,13.48,-29.687,12.9,
2020-11-17 19:30:00-08:00,15.06,-29.687,12.9,-25.2
2020-11-17 19:35:00-08:00,14.06,-31.433,13.0,
2020-11-17 19:40:00-08:00,14.91,-31.433,12.9,
2020-11-17 19:45:00-08:00,15.42,-31.433,13.0,
2020-11-17 19:50:00-08:00,15.08,-34.926,13.0,
2020-11-17 19:55:00-08:00,13.23,-31.433,12.9,
2020-11-17 20:00:00-08:00,14.41,-33.18,12.9,0.4
2020-11-17 20:05:00-08:00,14.34,-33.18,12.9,
2020-11-17 20:10:00-08:00,14.12,-33.18,12.9,
2020-11-17 20:15:00-08:00,14.73,-31.433,13.0,
2020-11-17 20:20:00-08:00,14.98,-26.194,13.0,
2020-11-17 20:25:00-08:00,13.67,-29.687,12.9,
2020-11-17 20:30:00-08:00,13.37,-31.433,12.9,-1.6
2020-11-17 20:35:00-08:00,12.38,-33.18,12.9,
2020-11-17 20:40:00-08:00,13.98,-33.18,12.9,
2020-11-17 20:45:00-08:00,14.29,-29.687,12.9,
2020-11-17 20:50:00-08:00,14.85,-33.18,12.9,
2020-11-17 20:55:00-08:00,12.91,-31.433,12.9,
2020-11-17 21:00:00-08:00,12.31,-31.433,12.9,-6.3
2020-11-17 21:05:00-08:00,12.98,-29.687,12.9,
2020-11-17 21:10:00-08:00,11.52,-31.433,12.9,
2020-11-17 21:15:00-08:00,11.62,-31.433,12.9,
2020-11-17 21:20:00-08:00,12.55,-34.926,12.9,
2020-11-17 21:25:00-08:00,11.78,-34.926,12.9,
2020-11-17 21:30:00-08:00,13.78,-34.926,12.9,-40.5
2020-11-17 21:35:00-08:00,12.62,-36.672,12.8,
2020-11-17 21:40:00-08:00,13.35,-40.165,12.8,
2020-11-17 21:45:00-08:00,11.16,-38.419,12.9,
2020-11-17 21:50:00-08:00,13.0,-33.18,12.9,
2020-11-17 21:55:00-08:00,9.27,-36.672,12.9,
2020-11-17 22:00:00-08:00,13.62,-33.18,13.0,-18.3
2020-11-17 22:05:00-08:00,9.34,-34.926,12.9,
2020-11-17 22:10:00-08:00,10.62,-34.926,12.9,
2020-11-17 22:15:00-08:00,11.73,-34.926,12.9,
2020-11-17 22:20:00-08:00,12.13,-31.433,12.9,
2020-11-17 22:25:00-08:00,11.0,-27.941,12.9,
2020-11-17 22:30:00-08:00,11.15,-29.687,12.9,0.0
2020-11-17 22:35:00-08:00,11.13,-27.941,12.9,
2020-11-17 22:40:00-08:00,11.82,-27.941,12.8,
